id,slug,name,address,state,area,latitude,longitude,phone,website_url,google_maps_url,accepted_items,tags,opening_hours,status,verification_status,upvote_count,downvote_count,photo_count,comment_count,notes,created_at,updated_at,last_verified_at,thumbnail_url
16,pusat-kitar-semula-komuniti-bukit-jelutong,Pusat Kitar Semula Komuniti Bukit Jelutong,"Jalan Pelapik B U8/B, Jelutong Hill, Section U8, Shah Alam, Selangor, 40150",Selangor,Jelutong Hill,3.1144898,101.5251059,,,"https://maps.google.com/?q=3.1144898,101.5251059",,Centre|Class:Centre,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=centre,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
17,recycling-container-node-4442464766,Recycling Container node-4442464766,"Jalan Selayang Baru, Kampung Lembah Indah, Batu Caves, Selayang Municipal Council, Selangor, 68100",Selangor,Batu Caves,3.244005,101.662321,,,"https://maps.google.com/?q=3.244005,101.662321",Cans|Paper|Plastic Bottles|Plastic Packaging|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
18,recycling-point-node-4450182217,Recycling Point node-4450182217,"Jalan Desa Serdang 4, Taman Desa Serdang, Kajang Municipal Council, Selangor, 43400",Selangor,Kajang Municipal Council,3.0109092,101.7226273,,,"https://maps.google.com/?q=3.0109092,101.7226273",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
19,norris-john,Norris John,"Jalan Industri 2, Batak Rabit, Teluk Intan, Perak, 36000",Perak,Batak Rabit,3.9951893,101.0105583,,,"https://maps.google.com/?q=3.9951893,101.0105583",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
20,recycling-container-node-4474560180,Recycling Container node-4474560180,"K2, Kampung Alor Biak, Kedah, 06150",Kedah,Kampung Alor Biak,6.235761,100.3102787,,,"https://maps.google.com/?q=6.235761,100.3102787",Cans|Paper|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
21,recycling-box,Recycling Box,"Jalan Kota Laksamana 1/7, Taman Kota Laksamana, Malacca City, Malacca, 75200",Melaka,Malacca City,2.1924964,102.242485,,,"https://maps.google.com/?q=2.1924964,102.242485",,Class:Drop-Off|Borne De Recyclage,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
22,recycling-container-node-4625323086,Recycling Container node-4625323086,"Jalan Desa, Pantai Dalam, Kuala Lumpur, 58100",Kuala Lumpur,Pantai Dalam,3.0967548,101.6776981,,,"https://maps.google.com/?q=3.0967548,101.6776981",Used Clothes,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
23,raviram-metal-trading,Raviram Metal Trading,Petaling Jaya,Selangor,Petaling Jaya,3.0754724,101.6435588,,,"https://maps.google.com/?q=3.0754724,101.6435588",,Centre|Class:Centre,,,osm_source,,,,,classification=centre,,2026-06-26T00:39:20Z,,
24,recycling-container-node-4764097625,Recycling Container node-4764097625,"Jalan Langgar, Kampung Seri Kedah, Alor Setar, Kedah, 05450",Kedah,Alor Setar,6.1204837,100.380432,,,"https://maps.google.com/?q=6.1204837,100.380432",Cans|Paper|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
25,recycling-container-node-4764592722,Recycling Container node-4764592722,"Jalan Kuala Kedah, Taman Ria, Taman Indah, Kampung Telok Chengai, Kedah, 06600",Kedah,Taman Ria,6.0952231,100.3350824,,,"https://maps.google.com/?q=6.0952231,100.3350824",Cans|Paper|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
26,recycling-container-node-4796907972,Recycling Container node-4796907972,"1, Taman Sri Hosba, Napoh, Bukit Kachi, Kedah",Kedah,Bukit Kachi,6.3577279,100.4230946,,,"https://maps.google.com/?q=6.3577279,100.4230946",Cans|Paper|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
27,tzu-chi-melaka-recycling-station,Tzu Chi Melaka Recycling Station,"Jalan Tunku Abdul Rahman, Taman Sutera Seksyen 2, Batu Berendam, Hang Tuah Jaya Municipal Council, Malacca, 75350",Melaka,Hang Tuah Jaya Municipal Council,2.2547249,102.2533563,,,"https://maps.google.com/?q=2.2547249,102.2533563",,Centre|Class:Centre|慈濟喜捨環保教育站,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=centre,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
28,recycling-container-node-4977019155,Recycling Container node-4977019155,"136, Permatang Tok Dik, Padang Serai, Kedah, 09400",Kedah,Padang Serai,5.4874339,100.5451155,,,"https://maps.google.com/?q=5.4874339,100.5451155",Cans|Paper|Plastic|Plastic Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
29,north-star-metal,North Star Metal,"Jalan Perusahaan, Kampung Siam, Lunas, Kedah, 09600",Kedah,Lunas,5.4298771,100.5558148,,,"https://maps.google.com/?q=5.4298771,100.5558148",Scrap Metal,Centre|Class:Private Scrapyard,,,reverse_geocoded_address|reverse_geocoded_area,,,,,not a general purpose recycling center | classification=private scrapyard,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
30,recycling-container-node-5385355118,Recycling Container node-5385355118,"Jalan Golf & Country Club, Bandar Darul Aman, Kampung Kelubi Dalam, Kedah, 06007",Kedah,Bandar Darul Aman,6.2536119,100.4376615,,,"https://maps.google.com/?q=6.2536119,100.4376615",Cans|Paper|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
31,recycling-container-node-5385355119,Recycling Container node-5385355119,"Jalan Golf & Country Club, Bandar Darul Aman, Kampung Kelubi Dalam, Kedah, 06007",Kedah,Bandar Darul Aman,6.2539691,100.4381061,,,"https://maps.google.com/?q=6.2539691,100.4381061",Cans|Paper|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
32,recycling-container-node-5395410197,Recycling Container node-5395410197,"Lengkuk Tunku Sarina, Taman Tunku Sarina, Bandar Darul Aman, Kampung Kelubi Dalam, Kedah, 06007",Kedah,Bandar Darul Aman,6.2593963,100.4503396,,,"https://maps.google.com/?q=6.2593963,100.4503396",Cans|Paper|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
33,recycling-container-node-5395410198,Recycling Container node-5395410198,"Jalan Sara 2, Taman Tunku Sarina, Bandar Darul Aman, Kampung Kelubi Dalam, Kedah, 06007",Kedah,Bandar Darul Aman,6.2592523,100.453459,,,"https://maps.google.com/?q=6.2592523,100.453459",Cans|Paper|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
34,recycling-container-node-5731593581,Recycling Container node-5731593581,"Jalan Juita 3, Taman Amal III, Kampung Masjid Lama, Kedah, 05350",Kedah,Kampung Masjid Lama,6.1488379,100.3995547,,,"https://maps.google.com/?q=6.1488379,100.3995547",Cans|Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
35,recycling-point-node-5740278968,Recycling Point node-5740278968,"North–South Expressway, Kampung Batu 10 Labu, Labu, Negeri Sembilan, 71900",Negeri Sembilan,Labu,2.7651853,101.8296233,,,"https://maps.google.com/?q=2.7651853,101.8296233",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
36,recycling-container-node-5853821797,Recycling Container node-5853821797,"Jalan Wawasan 2, Taman Wawasan, Kota Sarang Semut, Kedah, 06800",Kedah,Kota Sarang Semut,5.9718642,100.4002114,,,"https://maps.google.com/?q=5.9718642,100.4002114",Cans|Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
37,recycling-container-node-5885176199,Recycling Container node-5885176199,"Jalan Kempas Indah 14, Taman Kempas Indah 1, Kulim, Kedah, 09000",Kedah,Kulim,5.3603712,100.5318063,,,"https://maps.google.com/?q=5.3603712,100.5318063",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
38,recycling-container-node-5885176256,Recycling Container node-5885176256,"Jalan Petaling Jaya 8, Taman Petaling Jaya, Kulim, Kedah, 09000",Kedah,Kulim,5.3594191,100.5345489,,,"https://maps.google.com/?q=5.3594191,100.5345489",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
39,recycling-container-node-5886201883,Recycling Container node-5886201883,"Jalan Bersatu 4, Taman Bersatu Ⅱ, Kulim, Kedah, 09000",Kedah,Kulim,5.3580772,100.5369052,,,"https://maps.google.com/?q=5.3580772,100.5369052",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Scrap Metal,Container|Class:Private Scrapyard,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=private scrapyard,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
40,recycling-container-node-5886203796,Recycling Container node-5886203796,"Jalan Merbau, Taman Bersatu Ⅱ, Kulim, Kedah, 09000",Kedah,Kulim,5.3597436,100.5375919,,,"https://maps.google.com/?q=5.3597436,100.5375919",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Scrap Metal,Container|Class:Private Scrapyard,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=private scrapyard,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
41,recycling-container-node-5949075280,Recycling Container node-5949075280,"Darul Aman Highway, Anak Bukit, Laman Kuda, Mentaloon, Kedah, 06550",Kedah,Anak Bukit,6.175013,100.3693677,,,"https://maps.google.com/?q=6.175013,100.3693677",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
42,recycling-container-node-5949125753,Recycling Container node-5949125753,"Lorong Mahsuri 25C, Tanah Merah, Kampung Paya Kerchut, Kedah, 06000",Kedah,Tanah Merah,6.2349545,100.4211558,,,"https://maps.google.com/?q=6.2349545,100.4211558",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
43,recycling-container-node-6042167484,Recycling Container node-6042167484,"Jalan Raja, Kampung Khatijah, Alor Setar, Kedah, 05000",Kedah,Alor Setar,6.1183777,100.3659057,,,"https://maps.google.com/?q=6.1183777,100.3659057",Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
44,recycling-container-node-6109528751,Recycling Container node-6109528751,"Jalan Sena 4, Taman Sena Fasa 3, Pokok Sena, Kedah, 06400",Kedah,Pokok Sena,6.1658776,100.5140629,,,"https://maps.google.com/?q=6.1658776,100.5140629",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
45,recycling-container-node-6122528808,Recycling Container node-6122528808,"Jalan Lagenda, Taman 1 Lagenda, Malacca City, Malacca, 75400",Melaka,Malacca City,2.2164915,102.2442156,,,"https://maps.google.com/?q=2.2164915,102.2442156",,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
46,recycling-container-node-6160929793,Recycling Container node-6160929793,"K146, Teroi, Kampong Teroi Bukit, Kedah, 08800",Kedah,Teroi,5.8485159,100.4341082,,,"https://maps.google.com/?q=5.8485159,100.4341082",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
47,pusat-kitar-semula-komuniti-presint-9,Pusat Kitar Semula Komuniti Presint 9,"Jalan Tempua P9 B, Precinct 9, Putrajaya, 61250",Putrajaya,Putrajaya,2.9396683,101.671955,,,"https://maps.google.com/?q=2.9396683,101.671955",,Class:Centre,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=centre,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
48,recycling-centre-node-6186186148,慈济北海环保教育站,"Tingkat Berani 2, Bagan Jermal, Taman Anggerik, Butterworth, Penang, 12300",Penang,Bagan Jermal,5.4290946,100.3805156,,,"https://maps.google.com/?q=5.4290946,100.3805156",,Centre|Class:Centre,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=centre,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
49,recycling-container-node-6389994153,Recycling Container node-6389994153,"Federal Route 1, Kampong Hilir, Kepala Batas, Kedah, 06200",Kedah,Kepala Batas,6.2049326,100.4136926,,,"https://maps.google.com/?q=6.2049326,100.4136926",Cans|Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
50,recycling-container-node-6390184980,Recycling Container node-6390184980,"Lorong Kenari Biru 3, Taman Desa Kenangan, Taman Kenyalang, Alor Setar, Kedah, 05200",Kedah,Alor Setar,6.1346717,100.3801596,,,"https://maps.google.com/?q=6.1346717,100.3801596",Cans|Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
51,recycling-container-node-6390185752,Recycling Container node-6390185752,"Jalan Yakin 1, Taman Mahkota, Kampung Khatijah, Alor Setar, Kedah, 05200",Kedah,Alor Setar,6.1317085,100.375453,,,"https://maps.google.com/?q=6.1317085,100.375453",Cans|Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
52,five-star-recycle-kluang-sdn-bhd,Five Star Recycle (Kluang) Sdn Bhd,"Lot 184, Tg 134, 1A, Kampung Sembrong, Jalan Kluang-Jemaluang, Kluang, 86000",Johor,Kluang,2.0624971,103.3613096,077741063,https://five-star-recycle-kluang-sdn-bhd.business.site/,"https://maps.google.com/?q=2.0624971,103.3613096",,Centre|Class:Centre,Mo-Sa 09:00-18:00,,osm_source,,,,,website_fetch_error=HTTPError | classification=centre,,2026-06-26T00:39:20Z,,
53,recycling-container-node-6694087920,Recycling Container node-6694087920,"Jalan Padang, Fraser's Hill, Selangor",Selangor,Fraser's Hill,3.7073515,101.7382848,,,"https://maps.google.com/?q=3.7073515,101.7382848",,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
54,recycling-container-node-6696094854,Recycling Container node-6696094854,"Jalan Lady Guillemard, Fraser's Hill, Pahang",Pahang,Fraser's Hill,3.7114064,101.738021,,,"https://maps.google.com/?q=3.7114064,101.738021",Paper|Plastic|Glass,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
55,recycling-container-node-7048241368,Recycling Container node-7048241368,"Lorong Derga, Taman Derga Jaya, Kampung Gerigis, Kampung Pengapit Batu, Kedah, 05300",Kedah,Kampung Gerigis,6.1095041,100.3982431,,,"https://maps.google.com/?q=6.1095041,100.3982431",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
56,recycling-point-node-7249630695,Recycling Point node-7249630695,"Lengkuk Tunku Sarina II, Taman Tunku Sarina, Bandar Darul Aman, Jitra, Kedah, 06007",Kedah,Bandar Darul Aman,6.2604716,100.4545148,,,"https://maps.google.com/?q=6.2604716,100.4545148",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
57,recycling-point-node-7249643692,Recycling Point node-7249643692,"Jalan Myra, Taman Tunku Sarina, Bandar Darul Aman, Jitra, Kedah, 06007",Kedah,Bandar Darul Aman,6.2595637,100.4548012,,,"https://maps.google.com/?q=6.2595637,100.4548012",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
58,recycling-point-node-7249648248,Recycling Point node-7249648248,"Lengkuk Tunku Sarina II, Taman Tunku Sarina, Bandar Darul Aman, Jitra, Kedah, 06007",Kedah,Bandar Darul Aman,6.2628333,100.4534434,,,"https://maps.google.com/?q=6.2628333,100.4534434",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
59,recycling-container-node-7309784484,Recycling Container node-7309784484,"K1, Taman Guru, Yan Besar, Kedah, 06900",Kedah,Yan Besar,5.8093507,100.3784886,,,"https://maps.google.com/?q=5.8093507,100.3784886",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
60,recycling-container-node-7317793887,Recycling Container node-7317793887,"Jalan Mahsuri 3C, Taman Mahsuri, Kampung Paya Kerchut, Jitra, Kedah, 06000",Kedah,Jitra,6.2354277,100.4248036,,,"https://maps.google.com/?q=6.2354277,100.4248036",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
61,recycling-container-node-7331936128,Recycling Container node-7331936128,"Jalan Langgar, Taman Serindit, Taman Kenyalang, Alor Setar, Kedah, 05200",Kedah,Alor Setar,6.1303488,100.3869416,,,"https://maps.google.com/?q=6.1303488,100.3869416",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
62,recycling-container-node-7340903910,Recycling Container node-7340903910,"Sultanah Bahiyah Highway, Simpang Kuala, Taman Sri Fajar, Alor Setar, Kedah, 05400",Kedah,Simpang Kuala,6.0951369,100.3548141,,,"https://maps.google.com/?q=6.0951369,100.3548141",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
63,recycling-container-node-7347442698,Recycling Container node-7347442698,"Jalan Dahlia, Simpang Kuala, Taman Dahlia, Alor Setar, Kedah, 05400",Kedah,Simpang Kuala,6.0941661,100.3546384,,,"https://maps.google.com/?q=6.0941661,100.3546384",Cans|Paper|Plastic,Container|Class:Bin/Container,24/7,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
